Issue key,Issue id,Custom field (Exposure),Summary,Reporter,Created,Custom field (Customer Name),Custom field (State Reason),Component/s,Component/s,Custom field (Closed Reason),Status,Custom field (Found in build),Custom field (Fix in Build),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Assignee,Custom field (Root Cause),Resolution
WIFI-891080,3167588,2-High,[ASUS][Luxshare][A7406CMA][AX211]WiFi function lost when run S4 test(FR:8/8 units),henrysux,25/May/26 2:02 PM,Asus,Fixed,Router DLL,,,Verify,24.30.1.1,24.50.0 PV,Garfield Peak 2 Solar (AX211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,henrysux,"There was a function called tryWaitForSingleWlanext which waited for a single instance of wlanext.exe, and it just froze RouterDLL initialization until there is a single instance which eventually crashed wlanext.exe.",User Verified
WIFI-887252,3160934,1-Critical,[MSFT][PST][Pullenvale][PTL][FmP][25H2] WiFi/BT is going missing after resume from adaptive hibernate -- 0x20000088,timdaway,18/May/26 4:37 PM,Microsoft,Fixed,FW->Infra,,,Closed,24.50.0.3,MHWFW50271_24.70.26223.1008,Fillmore Peak 2 Scorpius (BE201),,,,,,,,,,,,,,,,,,,,,,JiraAdmin_DoNot_Remove,,,,,,,,,,P2-High,timdaway,"Suspect that in some cases we can do speculating pre-fetch of instruction from an invalid address as this instruction will not execute, from CPU perspective no harm was done but from MBUS protection this address
is not allowed so it will do an NMI.
To overcome this issue we're allow access to the whole smem space.
Please note the bug item (WIFI-875663) and security evaluation (WIFI-880440)",Fixed
WIFI-885536,3157824,2-High,[Lenovo_AIO][Compal][IdeaCentre AIO 27IWC11][WCL][BE213] 6GHz hidden SSID rename and fails to connect until WiFi radio off/on,caizhiqi,14/May/26 5:45 PM,Lenovo - Desktop,Fixed,WinDriver->Connectivity,,,Verify,WiFi driver version: 24.30.1.1,MHWFW50271_24.70.26223.1008,Spider Peak 2 Blazar-I (BE213),,,,,,,,,,,,,,,,,,,,,,24.60_Rev2_Candidate,JiraAdmin_DoNot_Remove,,,,,,,,,P2-High,caizhiqi,"after connecting to a stealth MLD AP and disconnecting
the stale MLD entry retained the old SSID",User Verified
WIFI-877482,3144267,2-High,[Samsung][PTL][BE211][P260422-06258] PC P2P Client didn't start to connect after PD request/response.,caizhiqi,30/Apr/26 12:13 PM,Samsung,Fixed,WinDriver->Performance,,,Verify,24.10.0.4,24.60.26203.1407,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,windrv_tccb_review_done,,,,,,,,,,P2-High,caizhiqi,detainer was not closed when disaremd from SX wasn't called from OS,User Verified
WIFI-870206,3114761,2-High,"[ASUS][9406CAA][PTL/BE211/25H2] Bluetooth shows Yellow Bang after S4 resume during aging test on Panther Lake/BE211, recovery fails",brentonw,08/Apr/26 5:21 PM,Asus,Fixed,WinDriver->System flows,,,Closed,24.20.0.3,MHWFW00604_24.60.26193.1407,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.50_Chery_Pick,24.50_Target,24.50.0_Rev2_Candidate,,,,,,,,P2-High,yuweich1,"ROM asserts are not recoverable and should be treated as fatal.
Product reset will be triggered immediately
",Fixed
WIFI-863547,3115863,1-Critical,[HSD22022275671][PTL][BE201] BSOD 0x139 after disabling Wi-Fi and rebooting with driver 24.40.0.3 post-Procyon install (Wi-Fi),henrysux,09/Apr/26 3:16 PM,,Fixed,WinDriver->System flows,,,Closed,24.40.0.3,MHWFW00539_24.60.26171.806,Fillmore Peak 2 Scorpius (BE201),,,,,,,,,,,,,,,,,,,,,,24.40_Rev#4,24.50.0_Rev2_Candidate,,,,,,,,,P2-High,henrysux,"[BUGFIX] Fix surface sar table size and bound flat array copy

Description: Update surface sar initialization and table conversion paths in
platform sar modules and add a sar bios test for radio off boot
per antenna config set flow on uhb platforms

These changes set table size from bios metadata and bound flat
array writes to prevent stack buffer overwrite when fw is not
operational and per antenna config set runs after radio off boot

The issue: Surface sar per antenna config set on uhb could
write beyond destination buffer and corrupt stack state when
source table size remained zero after radio off boot

The buggy flow: During radio off initialization fw command
failure left source table size unset then per antenna config set
converted data with four chain writes into a two chain surface
buffer

The fix: Persist surface table size from bios during init and
pass dest array size to bounded conversion so cdb chain writes
run only when buffer capacity allows

This commit message was generated using AI.

DeliveryType: BugFix - JIRA bug fix

BugOrigin: Code Change – Req Imp (SAS or FCM)

BugFoundBy: Microsoft

FcmPrevented: No

Issues: WIFI-863547

ExCr: Full PerCI

UnitTest: Added

CommitFormatterSha: 805340ecc792f0fc7f1622ac32e8ba5c

Change-Id: Ibc06731916244f955761af5ba804211aba2900c8
",Fixed
WIFI-863457,3114759,2-High,"[Asus][Huaqin][B3B5P5-CAA][Intel PTL][Intel BE211][WiFi][25H2] Rare BSOD 0x9F during reboot test due to Wi-Fi driver hang on Panther Lake (Netwaw18.sys, 24.20.0.4)",brentonw,08/Apr/26 2:08 PM,Asus,Fixed,WinDriver->System flows,,,Closed,24.20.0.4,24.40.0,Whale Peak 2 Blazar-I (BE211),,,,,,,,,,,,,,,,,,,,,,BSOD-0x9F,,,,,,,,,,P2-High,brentonw,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.",Fixed
WIFI-860241,3107559,2-High,[Dell_Compal][SLT14][PTL][WHP2]Stress_CB_BSOD: DRIVER_POWER_STATE_FAILURE(0x9F) with dump.,frankfcy,26/Mar/26 3:05 PM,Dell,Fixed,WinDriver->System flows,,,Closed,24.20.0.4,CRWFW12357_24.50.26142.908,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,frankfcy,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.",Fixed
WIFI-856261,3099260,2-High,"[ASUS][B3B5P5][PTL] Under UEFI, WiFi disconnection during downloading recovery image",brentonw,20/Mar/26 2:02 PM,Asus,Fixed,UEFIDriver,,,Closed,3.4.01.25471,3.4.04.26176,Whale Peak 2 Scorpius2 (BE211),,,,,,,,,,,,,,,,,,,,,,UEFI-WIFI,,,,,,,,,,P1-Stopper,brentonw,"1 driver issue fixed and 1 BIOS TCP level configuration change:

1. driver fix:
IWL_TX_DMA_MASK was set to 0xFFFFFFFFF (36-bit), a leftover from gen1
code. GEN2 and future devices support full 64-bit DMA addressing and
TFD addresses.

The PciIo->Map() function can legitimately return addresses above
36-bit, but TransTxqBuildTfd() rejected these valid addresses,
silently dropping TFD entries while advancing the TXQ write pointer.
This leads to firmware assertions and TXQ watchdog timeouts.
The fix removes the obsolete 36‑bit DMA mask and the associated validation check, allowing proper handling of 64‑bit DMA addresses.

2. See WIFI-645065 regarding HTTP buffer size
",Fixed
WIFI-851835,3091320,2-High,[Lenovo][PTL][WhP][25H2][Peach] BSOD 0x9F (Netwaw18_IMAGE_pci.sys) during warm boot stress test with Wi-Fi driver 24.20.2.1,timdaway,13/Mar/26 4:18 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->System flows,,,Closed,SVT,CRWFW12319_24.40.0.2,Whale Peak 2 Scorpius (BE211),,,,,,,,,,,,,,,,,,,,,,24.40_Rev#2,24.40.0_planned,,,,,,,,,P2-High,onetz,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.
",Fixed
