Issue key,Issue id,Custom field (Exposure),Summary,Reporter,Created,Custom field (Customer Name),Custom field (State Reason),Component/s,Component/s,Custom field (Closed Reason),Status,Custom field (Found in build),Custom field (Fix in Build),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Assignee,Custom field (Root Cause),Resolution
WIFI-885536,3157824,2-High,[Lenovo_AIO][Compal][IdeaCentre AIO 27IWC11][WCL][BE213] 6GHz hidden SSID rename and fails to connect until WiFi radio off/on,caizhiqi,14/May/26 5:45 PM,Lenovo - Desktop,Fixed,WinDriver->Connectivity,,,Verify,WiFi driver version: 24.30.1.1,MHWFW50271_24.70.26223.1008,Spider Peak 2 Blazar-I (BE213),,,,,,,,24.60_Rev2_Candidate,JiraAdmin_DoNot_Remove,,,,,,,,P2-High,caizhiqi,"after connecting to a stealth MLD AP and disconnecting
the stale MLD entry retained the old SSID",User Verified
WIFI-851835,3091320,2-High,[Lenovo][PTL][WhP][25H2][Peach] BSOD 0x9F (Netwaw18_IMAGE_pci.sys) during warm boot stress test with Wi-Fi driver 24.20.2.1,timdaway,13/Mar/26 4:18 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->System flows,,,Closed,SVT,CRWFW12319_24.40.0.2,Whale Peak 2 Scorpius (BE211),,,,,,,,24.40_Rev#2,24.40.0_planned,,,,,,,,P2-High,onetz,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.
",Fixed
WIFI-843819,3073506,1-Critical,"[Lenovo ThinkPad China][LCFC][WCL][AX211]EUT occur BSOD 0x7E(Netwtw16!IntelWiFiPcwCloseMacIdx0LinkQuality) during longrun AC-FB stress test(FR: 1/ 18units, 1/3497 cycles)",caizhiqi,25/Feb/26 7:14 PM,Lenovo - ThinkPad China,Fixed,WinDriver->Performance,,,Closed,24.20.1.2,CRWFW12319_24.40.0.2,Garfield Peak 2 Blazar-I (AX211),,,,,,,,24.40_Rev#2,windrv_tccb_not_required,,,,,,,,P2-High,caizhiqi,missing nullity check to the content of the pointer,Fixed
WIFI-817045,2996372,1-Critical,"[Thinkpad][Field][ARL][BE201][X13GEN6][24H2] X13Gen6 BE201 frequently roams to low RSSI APs, causing slow Wi-Fi on Windows 11 24H2",timdaway,06/Jan/26 3:58 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->Connectivity,,,Closed,24.10.0.4,MHWFW00482_24.30.0.2,Fillmore Peak 2 Blazar (BE201),,,,,,,,windrv_tccb_not_required,,,,,,,,,P2-High,timdaway,too much weight for channel load and too big penalty for 11v request by AP,Fixed
WIFI-811762,2982491,1-Critical,[Lenovo][Kailash][PTL/BE211][25H2]Auth failed when doing connect and ping stress test,caizhiqi,29/Dec/25 12:35 PM,Lenovo - IdeaPad,Fixed,FW->Data Path,,,Closed,24.10.3.3/24.10.3.5,MHWFW00482_24.30.0.2,Whale Peak 2 Scorpius (BE211),,,,,,,,LenovoFocus,LenovoPTLFocus,,,,,,,,P2-High,caizhiqi,"https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/252821
It is a WA for the case that before association is completed, the FW stays in mimo mode and does not go to DSMPS. So, the 2 ants are active. It solves the problem of authentication rx frame receive error.",Fixed
WIFI-810250,2982421,1-Critical,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211][25H2]Recoverable assert 0x20003207 occurred during Miracast Test,caizhiqi,26/Dec/25 4:00 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.10.3.3,MHWFW00392_24.10.3.7,Whale Peak 2 Scorpius (BE211),,,,,,,,24.10.3.7_Lenovo,LenovoPTLFocus,postM_noTask,,,,,,,P2-High,caizhiqi,"Change in requirement to increase the length of the P2P TBTT event in case of 3207.
",Fixed
WIFI-807667,2977596,1-Critical,"[Lenovo][Kailash][PTL/BE211][25H2][Yoga Slim 7 Ultra_SIT]WLAN show only 1 MLO link When change WIFI7 AP encryption mode from WPA2 to WPA3 (F/R:1/2units,1/10cycles)",caizhiqi,22/Dec/25 3:14 PM,Lenovo - IdeaPad,Fixed,WinDriver->Connectivity,,,Closed,24.10.3.3/24.10.3.5,MHWFW00392_24.10.3.7,Whale Peak 2 Scorpius (BE211),,,,,,,,24.10.3.6_Lenovo,24.20_Rev3,LenovoPTLFocus,windrv_tccb_review_done,,,,,,P1-Stopper,caizhiqi,"MLD requires WPA3 security.
MLD links with WPA2 are misbehaving, thus they are marked as such and they are no longer associated with each other in under the MLD AP.
Toggling between WPA2/3 caused the database which holds this information to go out of sync, so when the links became WPA3 we connected as MLD but without being aware of the other links in the same MLD.",Fixed
WIFI-805746,2972399,1-Critical,[Lenovo][Kailash][PTL/BE211][25H2]wifi disconnect from 2.4G AP when plug-in a specific 2.4G wireless ROG keyboard,caizhiqi,18/Dec/25 2:20 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.10.3.3, MHWFW00349_24.10.3.5,Whale Peak 2 Scorpius (BE211),,,,,,,,24.20_Planned,LenovoPTLFocus,postM_noTask,,,,,,,P2-High,caizhiqi,"couldn't hear the beacon - requirement changed

NDP after 4
driver disconnect after 6",Fixed
WIFI-804612,2970615,2-High,[Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]Recoverable Assert 0x4433 occurred when doing Warm Boot stress test,caizhiqi,16/Dec/25 5:14 PM,Lenovo - IdeaPad,Fixed,FW->MVM,,,Closed,24.10.3.3,MHWFW00392_24.10.3.7,Whale Peak 2 Scorpius (BE211),,,,,,,,24.10.3.6_Lenovo,24.20_Rev3,LenovoPTLFocus,postM_noTask,,,,,,P1-Stopper,caizhiqi,"We had bug in c101 (already fixed in c102)

That NOA that come from scan can be parsed when we handle our beacon

This use case we didn't see before

Seems one of the AP there, turn on oppPS

When we handle our beacon after got this beacon with oppPS=1 it will cause queues suspend

and we will not resume the queues as the oppPS enabled will clear right in next beacon 

++++++++++++++++++++++++++++++++++++++++==
This bug is a DUP of WIFI-754031",Fixed
WIFI-801012,2961980,1-Critical,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211][25H2]BSoD 0x9f (0x9F_3_Netwaw18_IMAGE_pci.sys) during stress Cold Boot Test,caizhiqi,10/Dec/25 1:32 PM,Lenovo - IdeaPad,Fixed,WinDriver->System flows,,,Closed,24.10.0.4,24.10.3.4,Whale Peak 2 Scorpius (BE211),,,,,,,,LenovoFocus,LenovoPTLFocus,windrv_tccb_not_required,,,,,,,P1-Stopper,caizhiqi,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD",Fixed
