Issue key,Technology,Year,Model Category,Category Confidence,Root Cause,Root Cause Theme,Resolved From Issue
WIFI-885536,WIFI,2026,Connectivity,0.0,"after connecting to a stealth MLD AP and disconnecting
the stale MLD entry retained the old SSID",State Machine Transition and Flow Handling Issues,WIFI-885536
WIFI-851835,WIFI,2026,BSOD,0.0,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.",State Machine Transition and Flow Handling Issues,WIFI-851835
WIFI-843819,WIFI,2026,BSOD,0.0,missing nullity check to the content of the pointer,Memory and Resource Management Issues,WIFI-843819
WIFI-817045,WIFI,2026,Performance,0.0,too much weight for channel load and too big penalty for 11v request by AP,Firmware Configuration and Parameter Tuning Issues,WIFI-817045
WIFI-811762,WIFI,2025,Connectivity,0.0,"https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/252821
It is a WA for the case that before association is completed, the FW stays in mimo mode and does not go to DSMPS. So, the 2 ants are active. It solves the problem of authentication rx frame receive error.",Firmware Configuration and Parameter Tuning Issues,WIFI-811762
WIFI-810250,WIFI,2025,Connectivity,0.0,Change in requirement to increase the length of the P2P TBTT event in case of 3207.,Firmware Configuration and Parameter Tuning Issues,WIFI-810250
WIFI-807667,WIFI,2025,Connectivity,0.0,"MLD requires WPA3 security.
MLD links with WPA2 are misbehaving, thus they are marked as such and they are no longer associated with each other in under the MLD AP.
Toggling between WPA2/3 caused the database which holds this information to go out of sync, so when the links became WPA3 we connected as MLD but without being aware of the other links in the same MLD.",Security Validation and Protection Control Issues,WIFI-807667
WIFI-805746,WIFI,2025,Connectivity,0.0,"couldn't hear the beacon - requirement changed

NDP after 4
driver disconnect after 6",RF Coexistence and Channel Behavior Issues,WIFI-805746
WIFI-804612,WIFI,2025,Connectivity,0.0,"We had bug in c101 (already fixed in c102) That NOA that come from scan can be parsed when we handle our beacon This use case we didn't see before Seems one of the AP there, turn on oppPS When we handle our beacon after got this beacon with oppPS=1 it will cause queues suspend and we will not resume the queues as the oppPS enabled will clear right in next beacon ++++++++++++++++++++++++++++++++++++++++== This bug is a WIFI-754031",Firmware and Hardware Interface Communication Issues,WIFI-804612
WIFI-801012,WIFI,2025,BSOD,0.0,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD",Power State Transition and Reset Recovery Issues,WIFI-801012
